n_rooms,n_toilets,area,x,y,distance_UBND,district,polistic,furniture,house_direct,balcony_direct,n_hospitals,n_schools,price
2,2,69,21.02358246,105.8052292,1.93,Dong Da,so do,day du,Tay - Bac,Dong - Nam,3,14,66.66666667
2,2,56,20.9732914,105.8200073,7.13,Hoang Mai,so do,day du,Dong - Nam,Tay - Bac,0,3,27.85714286
2,2,62,21.03158569,105.7604523,4.57,Nam Tu Liem,so do,day du,Dong,Bac,1,5,41.93548387
2,2,74,21.03510475,105.7655411,3.99,Nam Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,0,5,41.21621622
3,2,103,21.03470612,105.7923431,1.48,Cau Giay,so do,co ban,Nam,Bac,1,4,39
2,2,54.26,21.00893211,105.7440033,6.96,Nam Tu Liem,so do,cao cap,Tay - Bac,Dong - Nam,0,0,62.6612606
2,1,49,21.00522614,105.7389145,7.58,Nam Tu Liem,so do,cao cap,Dong - Bac,Tay - Nam,0,0,63.26530612
2,2,63.86,21.00580597,105.7943726,3.85,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,2,13,62.63701848
1,1,55,21.00174141,105.9421463,14.35,Gia Lam,so do,cao cap,Tay - Nam,Dong - Bac,0,3,35.98181818
2,2,65.5,20.9939003,105.7601929,6.62,Nam Tu Liem,chua so,day du,Dong - Bac,Tay - Nam,0,0,28.09160305
2,2,63.86,21.00580597,105.7943726,3.85,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,2,13,62.63701848
1,1,55,21.00174141,105.9421463,14.35,Gia Lam,so do,cao cap,Tay - Nam,Dong - Bac,0,3,35.98181818
2,2,65.5,20.9939003,105.7601929,6.62,Nam Tu Liem,chua so,day du,Dong - Bac,Tay - Nam,0,0,28.09160305
3,2,137,20.98651886,105.7863998,5.93,Ha Dong,so do,day du,Tay - Bac,Dong - Bac,1,4,35.03649635
3,2,112.7,20.96875381,105.7921066,7.52,Thanh Tri,so do,day du,Dong - Bac,Dong - Nam,4,6,27.89
3,2,113,21.03600121,105.7824631,2.33,Cau Giay,so do,co ban,Dong,Dong - Bac,1,5,44.69026549
2,1,52,21.00657463,105.7450485,6.99,Nam Tu Liem,so do,cao cap,Tay - Nam,Dong - Bac,0,0,36.92307692
2,1,56,20.96246719,105.792366,8.14,Ha Dong,so do,day du,Dong - Bac,Tay - Nam,2,5,23.125
3,2,120,21.02993202,105.7815781,2.65,Cau Giay,so do,day du,Dong - Bac,Dong - Nam,0,4,82.91666667
2,1,56,20.95890427,105.8381805,9.04,Hoang Mai,so do,day du,Tay - Bac,Dong - Nam,2,5,32.14285714
2,1,62,21.00522614,105.8050613,3.77,Thanh Xuan,hdmb,day du,Tay - Bac,Dong - Nam,4,20,65.51612903
2,2,67,20.94633102,105.7557831,10.83,Ha Dong,so do,day du,Bac,Nam,0,0,25.97014925
3,2,113,21.00029182,105.8160095,4.41,Thanh Xuan,hdmb,day du,Dong - Bac,Tay - Nam,4,16,54.07079646
2,2,73,21.0201683,105.7807541,3.3,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,0,4,56.16438356
2,1,63,20.96246719,105.792366,8.14,Ha Dong,so do,day du,Tay - Bac,Dong - Bac,2,5,26.19047619
3,2,103.5,21.01590729,105.7801819,3.65,Nam Tu Liem,hdmb,day du,Tay - Nam,Dong - Nam,0,4,41.54589372
2,2,74,20.97434616,105.7541656,8.52,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,0,2,39.18918919
3,2,110,21.00938606,105.7738724,4.56,Nam Tu Liem,hdmb,co ban,Tay - Nam,Dong - Bac,0,1,57.27272727
2,2,100,21.03505135,105.7949753,1.25,Cau Giay,hdmb,day du,Tay,Dong,1,4,43.5
2,2,77.2,20.98483658,105.8598557,8.01,Hoang Mai,hdmb,day du,Dong - Bac,Tay - Nam,1,5,38.86010363
2,2,61,21.00893211,105.7440033,6.96,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Bac,0,0,62
2,2,73,21.057735,105.91335,10.96,Long Bien,so do,day du,Tay - Bac,Dong - Nam,2,6,36.98630137
3,2,127,21.04342079,105.8215637,1.69,Tay Ho,so do,day du,Dong - Nam,Tay - Nam,2,5,59.05511811
2,2,80,20.98519325,105.7790298,6.32,Ha Dong,so do,day du,Dong - Bac,Tay - Nam,3,3,33.125
2,2,66,20.96473503,105.8263626,8.11,Hoang Mai,hdmb,day du,Dong - Bac,Tay - Nam,1,3,25.45454545
3,2,87,21.03717804,105.8730698,6.86,Long Bien,so do,cao cap,Tay - Nam,Tay - Nam,2,4,47.93103448
3,2,96,21.09144402,105.7847214,5.25,Bac Tu Liem,so do,cao cap,Dong,Tay,1,4,55.20833333
2,2,70,20.97952843,105.7875671,6.57,Ha Dong,so do,co ban,Dong,Tay,3,5,38
3,2,92,21.06909752,105.8880386,8.73,Long Bien,hdmb,day du,Dong - Bac,Tay - Nam,2,5,35.54347826
2,2,73,20.95215034,105.7853851,9.28,Ha Dong,so do,day du,Tay - Nam,Dong - Bac,2,2,21.09589041
2,2,63.86,21.00580597,105.7943726,3.85,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,2,13,62.63701848
1,1,55,21.00174141,105.9421463,14.35,Gia Lam,so do,cao cap,Tay - Nam,Dong - Bac,0,3,35.98181818
2,2,65.5,20.9939003,105.7601929,6.62,Nam Tu Liem,chua so,day du,Dong - Bac,Tay - Nam,0,0,28.09160305
3,2,137,20.98651886,105.7863998,5.93,Ha Dong,so do,day du,Tay - Bac,Dong - Bac,1,4,35.03649635
3,2,112.7,20.96875381,105.7921066,7.52,Thanh Tri,so do,day du,Dong - Bac,Dong - Nam,4,6,27.89
3,2,113,21.03600121,105.7824631,2.33,Cau Giay,so do,co ban,Dong,Dong - Bac,1,5,44.69026549
2,1,52,21.00657463,105.7450485,6.99,Nam Tu Liem,so do,cao cap,Tay - Nam,Dong - Bac,0,0,36.92307692
2,1,56,20.96246719,105.792366,8.14,Ha Dong,so do,day du,Dong - Bac,Tay - Nam,2,5,23.125
3,2,120,21.02993202,105.7815781,2.65,Cau Giay,so do,day du,Dong - Bac,Dong - Nam,0,4,82.91666667
2,1,56,20.95890427,105.8381805,9.04,Hoang Mai,so do,day du,Tay - Bac,Dong - Nam,2,5,32.14285714
2,1,62,21.00522614,105.8050613,3.77,Thanh Xuan,hdmb,day du,Tay - Bac,Dong - Nam,4,20,65.51612903
2,2,67,20.94633102,105.7557831,10.83,Ha Dong,so do,day du,Bac,Nam,0,0,25.97014925
3,2,113,21.00029182,105.8160095,4.41,Thanh Xuan,hdmb,day du,Dong - Bac,Tay - Nam,4,16,54.07079646
2,2,73,21.0201683,105.7807541,3.3,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,0,4,56.16438356
2,1,63,20.96246719,105.792366,8.14,Ha Dong,so do,day du,Tay - Bac,Dong - Bac,2,5,26.19047619
3,2,103.5,21.01590729,105.7801819,3.65,Nam Tu Liem,hdmb,day du,Tay - Nam,Dong - Nam,0,4,41.54589372
2,2,74,20.97434616,105.7541656,8.52,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,0,2,39.18918919
3,2,110,21.00938606,105.7738724,4.56,Nam Tu Liem,hdmb,co ban,Tay - Nam,Dong - Bac,0,1,57.27272727
2,2,100,21.03505135,105.7949753,1.25,Cau Giay,hdmb,day du,Tay,Dong,1,4,43.5
2,2,77.2,20.98483658,105.8598557,8.01,Hoang Mai,hdmb,day du,Dong - Bac,Tay - Nam,1,5,38.86010363
2,2,61,21.00893211,105.7440033,6.96,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Bac,0,0,62
2,2,73,21.057735,105.91335,10.96,Long Bien,so do,day du,Tay - Bac,Dong - Nam,2,6,36.98630137
3,2,127,21.04342079,105.8215637,1.69,Tay Ho,so do,day du,Dong - Nam,Tay - Nam,2,5,59.05511811
2,2,80,20.98519325,105.7790298,6.32,Ha Dong,so do,day du,Dong - Bac,Tay - Nam,3,3,33.125
2,2,66,20.96473503,105.8263626,8.11,Hoang Mai,hdmb,day du,Dong - Bac,Tay - Nam,1,3,25.45454545
3,2,87,21.03717804,105.8730698,6.86,Long Bien,so do,cao cap,Tay - Nam,Tay - Nam,2,4,47.93103448
3,2,96,21.09144402,105.7847214,5.25,Bac Tu Liem,so do,cao cap,Dong,Tay,1,4,55.20833333
2,2,70,20.97952843,105.7875671,6.57,Ha Dong,so do,co ban,Dong,Tay,3,5,38
3,2,92,21.06909752,105.8880386,8.73,Long Bien,hdmb,day du,Dong - Bac,Tay - Nam,2,5,35.54347826
2,2,73,20.95215034,105.7853851,9.28,Ha Dong,so do,day du,Tay - Nam,Dong - Bac,2,2,21.09589041
3,2,126,20.99964523,105.7993851,4.36,Thanh Xuan,so do,day du,Dong - Nam,Tay - Bac,5,15,29.36507937
2,2,79,21.00522614,105.7389145,7.58,Nam Tu Liem,so do,cao cap,Dong - Bac,Tay - Nam,0,0,44.05063291
1,1,47,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,0,0,37.44680851
